Cut1 Cut2 Cut3 Cut4 Cut5 Cut6 Cut7 Cut8 Cut9 Cut10 Cut11 Cut12 Cut13 Cut14 Cut15 Cut16 Cut17 Cut18 Cut19 Cut20 Cut21 Cut22 Cut23 Cut24 Cut25 Cut26 Cut27 Cut28 Cut29 Cut30 Cut31 Cut32 Cut33 Cut34 Cut35 Cut36 Cut37 Cut38 Cut39 Cut40
9.557652114519779e-15 -2.2737367544323206e-13 5.684341886080802e-14 2053.999999999999 2796.0 5543.999999999999 8977.0 12650.0 16411.0 22099.00000000001 31056.99999999999 38535.0 42474.99999999999 47320.00000000002 52107.0 58181.0 62875.000000000015 63064.000000000015 65836.0 67980.99999999999 67981.00000000001 67981.00000000001 69172.00000000001 69172.00000000001 63971.00000000001 62783.99999999999 59050.00000000001 58258.00000000001 55596.00000000001 49143.000000000015 41581.0 31869.0 22562.00000000001 22562.0 22562.0 17461.0 11596.000000000004 10780.000000000002 6668.000000000001 3396.0
1.8169502848024894e-15 -1.1013412404281553e-13 2.5579538487363607e-13 2047.9999999999998 3194.0 6586.999999999995 9146.0 12649.999999999998 19821.0 26098.00000000001 36963.99999999999 43223.00000000001 48828.99999999999 51393.000000000015 55177.999999999985 65613.00000000001 65905.0 65989.0 67134.0 69417.99999999999 69967.00000000001 70761.00000000003 71216.0 71215.99999999999 68804.99999999999 67113.99999999999 64263.00000000001 61484.000000000015 57368.99999999999 56081.0 50343.99999999999 40071.0 32984.99999999999 22562.0 21542.0 21506.999999999993 12428.999999999998 11596.0 6855.000000000002 5094.0
-1.593989477329206e-14 -1.7053025658242404e-13 1982.9999999999993 2150.0 3736.000000000001 7289.999999999997 9145.999999999998 14823.0 23074.000000000007 32566.000000000007 39236.99999999999 48775.00000000001 53212.99999999999 57771.00000000001 60157.99999999999 66323.0 67683.00000000004 67683.00000000003 67702.00000000001 69846.00000000001 72430.00000000001 72430.00000000003 78387.0 76650.00000000001 76534.0 70698.00000000001 70698.00000000001 68438.00000000001 61660.99999999999 58796.99999999999 56609.00000000002 49690.000000000015 43254.00000000002 28232.999999999993 22484.999999999996 20932.999999999996 17540.000000000007 10549.00000000001 8935.000000000002 5094.000000000001
2.1309275802252277e-14 -1.2079226507921703e-13 1982.9999999999995 2144.0 4208.0 7443.999999999996 9399.999999999995 17082.0 25392.99999999999 37634.000000000015 42919.999999999985 51730.0 54660.999999999985 60158.0 65066.99999999999 65917.99999999999 65918.0 67173.99999999997 68674.99999999999 68778.99999999999 69179.0 77672.99999999999 77672.99999999999 77672.99999999999 76534.0 75147.99999999997 73872.00000000001 73871.99999999999 63408.99999999998 61660.999999999985 59178.99999999998 51412.0 44592.99999999999 36032.999999999985 27161.999999999996 22485.000000000004 18584.999999999996 10548.999999999996 9237.999999999998 5093.999999999998
2.3489930842513017e-14 -3.197442310920451e-14 2037.9999999999998 2125.999999999999 4285.999999999998 8863.999999999993 11262.999999999998 20019.99999999999 28870.0 41410.99999999999 48707.99999999997 54904.99999999999 61758.99999999998 64793.0 70821.99999999997 75163.99999999999 75421.0 77370.99999999997 83524.0 83523.99999999996 82904.0 86589.0 95109.99999999996 94709.99999999999 93843.99999999997 80930.99999999994 80547.99999999999 78440.99999999999 73425.99999999999 63720.99999999999 60384.99999999998 57472.99999999997 50042.99999999999 39996.99999999999 32204.99999999998 25487.999999999993 19724.999999999996 12001.999999999998 9385.999999999998 5295.999999999998
1.5036023532609883e-15 -5.684341886080802e-14 2037.9999999999993 2141.0 4565.000000000001 9187.999999999996 12286.999999999998 21258.000000000004 30831.0 41917.0 50663.0 57255.0 61758.999999999985 64793.00000000002 71308.0 75421.00000000003 77307.00000000001 77740.00000000001 83524.00000000003 85883.0 82904.00000000003 86588.99999999999 92340.00000000001 93843.99999999999 92340.00000000001 80586.0 78441.0 78441.00000000001 73426.0 63476.0 60384.99999999999 57473.00000000001 50569.0 42922.0 34225.0 28900.999999999996 19896.000000000007 13900.000000000004 10051.000000000002 5417.0
-1.606080610510794e-14 -7.105427357601002e-14 2081.0000000000005 2460.999999999999 5073.000000000003 9332.0 14997.000000000002 22254.999999999993 31778.000000000015 42146.00000000002 52643.0 57255.00000000001 60610.99999999999 64033.000000000015 71307.99999999999 77307.0 77307.00000000003 77740.0 78549.00000000001 81015.00000000001 81752.0 83296.00000000003 86803.00000000003 87560.0 83796.99999999999 76657.0 74257.0 73696.0 70934.0 64423.99999999999 60384.999999999985 59278.00000000001 52618.00000000001 45585.00000000001 36247.0 29101.999999999996 20567.000000000007 14681.000000000005 10661.0 6199.999999999999
1.9997883442818618e-14 -1.1723955140041653e-13 2080.9999999999995 2538.999999999999 5088.999999999998 9331.999999999993 17951.0 23599.999999999993 31868.999999999993 44126.0 52642.99999999999 57254.99999999999 60610.99999999998 64032.99999999998 68943.99999999999 71173.00000000001 72178.99999999999 74412.99999999997 75138.0 75138.0 77045.0 83296.00000000001 87043.99999999999 86802.99999999999 83797.0 78742.0 77858.0 74256.99999999999 70934.00000000001 66853.99999999999 60771.0 57000.0 53638.99999999999 46865.999999999985 36940.999999999985 28902.999999999985 22568.999999999993 16886.999999999993 11311.999999999996 6757.0
5.469715582086637e-14 -3.694822225952521e-13 2255.0000000000005 2901.0000000000014 5241.999999999999 9136.999999999998 17950.999999999996 23763.0 31778.000000000007 44267.000000000015 52756.0 59230.0 64979.0 70421.00000000001 72646.99999999997 74747.99999999999 78207.00000000003 80822.00000000001 80822.00000000001 80802.00000000001 77444.0 85047.0 87044.00000000001 90459.00000000001 84676.0 79557.00000000003 79367.00000000001 79395.00000000001 72659.0 67170.0 60770.99999999999 57299.99999999999 53638.99999999998 46848.000000000015 37570.00000000001 28796.0 22569.00000000001 16887.000000000004 13070.000000000005 7958.000000000002
-1.58171412324809e-14 -1.4210854715202004e-14 3.979039320256561e-13 2949.999999999999 5243.0 7773.999999999997 16943.999999999993 24219.999999999985 31097.999999999996 44266.99999999999 52755.99999999999 59570.999999999985 66174.99999999997 70421.00000000001 73622.99999999997 79083.99999999999 81695.99999999997 82624.99999999999 88032.99999999999 86920.99999999996 80802.00000000001 85046.99999999999 87290.0 91481.00000000001 86308.0 79529.0 79394.99999999999 78828.00000000001 72659.0 67145.99999999999 60771.0 56686.0 52497.0 46847.999999999985 37505.0 28185.99999999999 22542.00000000001 17113.0 13183.0 8211.999999999996
-5.681082910835578e-15 -6.394884621840902e-14 1.7053025658242404e-13 2969.0 5242.999999999999 7172.0 15192.999999999996 23763.000000000004 29070.999999999996 42987.000000000015 52756.0 60025.000000000015 66174.99999999999 70075.00000000001 73278.0 78149.0 79084.00000000004 81603.00000000003 86057.00000000001 85999.00000000001 82647.00000000001 84918.00000000001 87000.00000000001 86308.0 86308.00000000003 77063.99999999999 76071.00000000001 74123.00000000004 65850.99999999999 64411.0 61685.00000000002 56905.00000000001 51512.0 44786.0 37337.00000000001 28185.999999999996 22459.000000000007 16299.0 13160.000000000004 8449.000000000002
6.156377611240784e-15 -1.6253665080512292e-13 2.6290081223123707e-13 2907.9999999999995 4696.999999999998 7009.999999999996 14949.999999999996 21410.999999999993 27596.999999999993 41268.0 52021.99999999998 59505.0 64499.99999999998 67176.0 69454.99999999999 72490.0 72490.00000000001 77690.99999999997 84458.0 84457.99999999999 82647.00000000001 84742.99999999999 84907.0 83107.99999999997 80334.0 74278.99999999999 73639.0 72965.99999999999 65642.0 63095.99999999998 61684.99999999999 56379.99999999998 48669.999999999985 43878.0 36396.999999999985 28085.999999999993 22538.000000000007 16213.0 12842.999999999998 8449.0
2.8414669828953607e-16 -3.907985046680551e-14 8.526512829121202e-14 1938.9999999999998 4378.000000000001 6578.0 13287.999999999996 20806.000000000004 27483.999999999996 38569.000000000015 51298.00000000001 57925.000000000015 61869.00000000001 66018.00000000001 69454.99999999996 72383.0 72455.00000000003 75668.0 75668.0 81213.0 80841.00000000003 83878.99999999999 83879.00000000001 83108.0 78112.00000000001 72483.99999999999 72890.00000000004 68796.0 64042.00000000001 61318.0 59617.00000000001 53761.00000000001 47521.0 43878.0 35582.000000000015 27128.999999999993 22266.000000000022 15415.000000000005 12034.000000000002 6780.000000000001
-8.92905216832709e-15 1.0658141036401503e-14 8.526512829121202e-14 1939.0 3896.000000000001 5396.000000000002 11882.0 18470.0 23094.999999999996 34966.000000000015 47259.0 57572.000000000015 61868.99999999999 66018.00000000001 69284.99999999997 73279.00000000001 73362.00000000003 73802.0 77483.0 80841.00000000003 81283.00000000001 81283.00000000001 84485.00000000003 83108.0 76657.00000000001 72968.0 72993.00000000001 68796.00000000003 62458.00000000002 59094.0 57025.00000000001 52721.0 47425.000000000015 41479.00000000001 31752.000000000004 22040.999999999996 19165.000000000004 14383.000000000002 10723.000000000004 5487.0
6.774485363568798e-15 3.552713678800501e-14 1.0658141036401503e-13 2.1316282072803006e-13 3537.999999999999 5169.999999999997 10874.999999999998 16002.999999999996 22179.999999999996 32921.00000000001 45672.99999999999 53015.999999999985 61528.99999999998 66018.0 68189.99999999997 73362.0 72556.00000000003 73816.99999999997 74807.99999999999 77483.00000000001 78764.0 80209.99999999997 81193.99999999997 81193.99999999999 74398.99999999997 72967.99999999999 69457.0 68182.00000000001 61219.99999999999 58710.999999999985 55558.99999999999 52686.99999999998 47413.999999999985 40659.999999999985 30694.999999999993 21666.99999999999 17462.000000000007 11495.999999999998 8187.999999999998 4987.999999999999
8.017600949424755e-15 -2.842170943040401e-14 -5.684341886080802e-14 2.8421709430404007e-13 3385.0000000000005 5146.999999999999 9109.000000000002 14597.0 19591.000000000004 29431.000000000015 40892.999999999985 49522.000000000015 55885.0 60703.000000000015 65548.99999999999 68542.00000000001 69523.00000000003 70798.00000000001 72469.00000000003 72469.0 72469.00000000003 74988.0 74988.00000000001 73657.00000000001 68002.0 66026.0 64298.00000000003 61280.0 57314.999999999985 55665.00000000001 54648.99999999999 49132.0 44499.99999999999 38121.99999999999 28688.0 19643.0 15489.000000000005 11224.000000000004 7714.000000000001 3674.0
3.885250074975579e-16 3.019806626980426e-14 -1.2789769243681803e-13 7.105427357601002e-14 3338.9999999999986 4665.999999999997 7823.999999999997 11984.999999999993 19465.999999999996 26889.000000000004 35046.999999999985 45136.00000000001 50203.999999999985 54252.99999999999 61212.999999999985 65731.99999999999 65732.0 65379.999999999985 65379.99999999997 65927.99999999997 66425.99999999999 68091.00000000001 68091.0 66728.99999999999 64139.99999999999 63377.999999999985 63219.0 58954.999999999985 53878.999999999985 52221.0 52040.99999999998 48913.999999999985 40418.999999999985 30442.999999999996 20577.999999999993 16429.999999999996 11274.999999999998 8759.0 5792.999999999999 3496.999999999999
-2.7403368054169576e-15 2.930988785010413e-14 -3.552713678800501e-14 1.5631940186722204e-13 3117.0000000000005 4297.999999999998 7032.000000000001 10297.999999999998 14876.999999999998 21537.000000000004 32606.0 40188.00000000001 42504.0 48858.00000000001 53937.99999999999 56726.0 57786.00000000002 58052.000000000015 59770.000000000015 60757.00000000002 61124.000000000015 60505.000000000015 60653.00000000003 60473.00000000001 59600.00000000001 58913.0 58713.000000000015 55505.000000000015 52139.0 51931.000000000015 48967.99999999999 46986.0 34120.0 26780.000000000007 18345.000000000004 13005.0 9891.000000000002 6115.000000000001 4231.000000000002 2925.0
1.8861760786985485e-15 -1.7763568394002505e-15 -8.526512829121202e-14 9.947598300641403e-14 2374.0 4203.999999999999 5609.0 9341.000000000002 13928.0 20077.000000000007 24378.000000000004 32452.000000000004 35929.0 44813.00000000002 49701.999999999985 54531.000000000015 54668.0 54967.0 57180.000000000015 60757.00000000001 60198.00000000001 61076.00000000001 60473.00000000002 59925.00000000001 59380.000000000015 56808.0 56563.000000000015 54761.00000000003 48920.000000000015 47411.99999999999 46741.000000000015 41527.00000000001 28116.000000000007 18969.000000000007 13427.000000000002 11212.0 8706.000000000007 5818.000000000004 4175.000000000001 2925.0000000000005
8.469052827455429e-16 0.0 -1.4210854715202004e-14 1.2789769243681803e-13 2373.9999999999995 2880.0000000000005 4202.999999999999 7164.999999999997 10865.999999999998 14655.00000000001 19093.999999999993 29057.0 34009.0 38308.00000000001 45277.999999999985 48831.0 51018.000000000015 51590.999999999985 53158.000000000015 55862.0 57178.0 59148.999999999985 59149.0 56649.0 52812.0 51826.99999999999 50779.99999999999 47957.000000000015 43408.00000000002 42517.00000000001 39539.0 30797.0 24125.999999999996 16386.0 12516.999999999998 10734.999999999996 7175.000000000003 4499.000000000002 4228.999999999999 4.547473508864641e-13
1.4907822685841218e-15 -2.1316282072803006e-14 0.0 -2.8421709430404007e-13 -1.1368683772161603e-13 2879.9999999999977 3375.999999999999 5419.999999999998 8201.999999999998 12943.000000000004 17351.999999999996 23140.999999999996 29713.0 34162.00000000001 38793.999999999985 44867.0 45051.000000000015 50031.0 50856.0 51022.99999999999 52992.0 52506.99999999999 52515.99999999999 52306.999999999985 48914.99999999999 48128.99999999999 44014.0 42032.00000000001 38525.0 37671.0 31956.0 22860.999999999996 16314.999999999998 12979.999999999995 10638.0 8309.0 5163.0 4499.000000000001 2.8421709430404007e-13 3.410605131648481e-13
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
