Wavefront_pumped_notrans21 Wavefront_pumped_notrans22 Wavefront_pumped_notrans23 Wavefront_pumped_notrans24 Wavefront_pumped_notrans25 Wavefront_pumped_notrans26 Wavefront_pumped_notrans27 Wavefront_pumped_notrans28 Wavefront_pumped_notrans29 Wavefront_pumped_notrans210 Wavefront_pumped_notrans211 Wavefront_pumped_notrans212 Wavefront_pumped_notrans213 Wavefront_pumped_notrans214 Wavefront_pumped_notrans215 Wavefront_pumped_notrans216 Wavefront_pumped_notrans217 Wavefront_pumped_notrans218 Wavefront_pumped_notrans219 Wavefront_pumped_notrans220 Wavefront_pumped_notrans221 Wavefront_pumped_notrans222 Wavefront_pumped_notrans223 Wavefront_pumped_notrans224 Wavefront_pumped_notrans225 Wavefront_pumped_notrans226 Wavefront_pumped_notrans227 Wavefront_pumped_notrans228 Wavefront_pumped_notrans229 Wavefront_pumped_notrans230 Wavefront_pumped_notrans231 Wavefront_pumped_notrans232 Wavefront_pumped_notrans233 Wavefront_pumped_notrans234 Wavefront_pumped_notrans235 Wavefront_pumped_notrans236 Wavefront_pumped_notrans237 Wavefront_pumped_notrans238 Wavefront_pumped_notrans239 Wavefront_pumped_notrans240
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.571697780862415 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.530098317190966 -0.518612734973399 -0.509290081448818 -0.507465442642535 -0.508194808848167 -0.517984371632305 -0.526002475991811 -0.537867622449961 -0.561268657445875 -0.58674353174862 -0.605241579934915 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.497610756196047 -0.482745753601155 -0.470978819765115 -0.463022677227825 -0.45315344072875 -0.44976845104244 -0.456314384937255 -0.46344216726717 -0.48064883239564 -0.504688654094899 -0.529703436419334 -0.555515024810995 -0.58857600577172 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.496570255607335 -0.478680785745345 -0.45820984803137 -0.44053038209673 -0.42173614352938 -0.407811298966385 -0.391101425513615 -0.389580903574795 -0.39786711893971 -0.407083608210055 -0.422109663486465 -0.445570135489075 -0.47339673154053 -0.505884110927549 -0.539080085232817 -0.577067926526035 -0.61936887726185 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 -0.48734895698723 -0.46424035262313 -0.44334626477208 -0.42211850173768 -0.401739561930295 -0.37546963524068 -0.35108478181061 -0.330423527397175 -0.330243059433955 -0.342571048066015 -0.34905337542288 -0.3617816250771 -0.383629964664555 -0.416231552138875 -0.454622598364915 -0.489365357905594 -0.53181674145159 -0.575050894170965 -0.624029239639595 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6
