Cut1 Cut2 Cut3 Cut4 Cut5 Cut6 Cut7 Cut8 Cut9 Cut10 Cut11 Cut12 Cut13 Cut14 Cut15 Cut16 Cut17 Cut18 Cut19 Cut20 Cut21 Cut22 Cut23 Cut24 Cut25 Cut26 Cut27 Cut28 Cut29 Cut30 Cut31 Cut32 Cut33 Cut34 Cut35 Cut36 Cut37 Cut38 Cut39 Cut40
33.000000000000014 33.000000000000014 40.99144633895723 24.34212458326831 26.97166228454014 31.177158538851664 37.95820712390032 23.01207463847078 59.98289728735526 50.3156971810193 74.00281718118698 89.99818861833154 131.16864361223256 143.8602448678035 165.1460183624866 148.90661826981497 154.9902469340912 192.9833978716322 177.0320071890721 144.01759484833804 184.01836599289217 131.0034395964798 181.95441386258224 161.98094416476425 134.85401236682765 166.02008641949146 87.80791192161882 91.02142085559781 74.99075021522069 51.76805445241937 38.82652857524527 47.9628033125999 30.008302204574598 24.919436314670353 21.199432671468827 22.022947244200516 18.053158287097997 17.94207778332492 17.0 17.0
33.000000000000014 33.000000000000014 40.99144633895723 24.34212458326831 26.97166228454014 31.177158538851664 37.95820712390032 23.01207463847078 59.98289728735526 50.3156971810193 74.00281718118698 89.99818861833154 131.16864361223256 143.8602448678035 165.1460183624866 148.90661826981497 154.9902469340912 192.9833978716322 177.0320071890721 144.01759484833804 184.01836599289217 131.0034395964798 181.95441386258224 161.98094416476425 134.85401236682765 166.02008641949146 87.80791192161882 91.02142085559781 74.99075021522069 51.76805445241937 38.82652857524527 47.9628033125999 30.008302204574598 24.919436314670353 21.199432671468827 22.022947244200516 18.053158287097997 17.94207778332492 17.0 17.0
27.284596194606827 27.284596194606827 24.502840421338185 32.466848263866716 24.97076909913283 32.83867435892493 34.90008987834236 41.79618483810691 53.88874192581122 56.615189443959544 78.15912766165918 104.61531719977232 139.6009228111231 129.6425163757996 182.12115569506503 120.8261263963438 149.85205678367012 228.90141889356036 155.62278539993733 181.1649195904637 221.76207201383298 166.88011983696288 161.37753959248738 166.85479943167573 127.26848610818215 143.51814125620226 79.20514424809704 88.26839533075146 56.228132546072885 66.99506656519443 39.71577235685814 45.49918418616897 44.73045194683605 26.907687718966052 30.387646372689254 21.646095507882695 17.90859749292759 17.291398283373468 25.924809779293806 25.924809779293806
29.922855775678833 29.922855775678833 31.946222649766792 29.987994206448825 36.70832757776297 25.982521638248173 35.290516713959406 63.23911141472754 87.85076515761024 96.88695898622889 80.75384601169597 170.38923693337728 160.02621152223338 170.08743494546877 216.87851682685235 194.85367190576483 267.76148974670315 272.2805444451431 326.49347936519223 303.5028077192708 230.01611560417842 281.74919505013867 267.44245691980075 280.7284158657739 308.90132933738016 143.57911634221216 144.3580573021684 100.28225753672088 126.12120506638551 70.63460787925915 70.75233571802407 53.2338701337225 32.91125343266756 27.481131326931163 23.00908067006727 21.908036971788807 27.688935438753045 24.51778923988892 33.27048607394123 33.27048607394123
21.94490687356887 21.94490687356887 16.011700775700383 32.252033681592856 35.56157383170975 44.68258643163975 41.97826328629148 82.1842337726022 102.91137261113317 107.57137427340474 115.96869025666251 192.48611803072134 247.27466468901957 263.4065556457802 347.4822791062994 216.64981369175473 509.41160849334375 355.4325065054912 424.5684286430535 427.8257731967894 390.49487160307865 393.31324612306815 398.959276991063 269.39102560368565 369.7160125312346 342.49578965033254 162.38503107099908 217.1559265467334 145.99020203764442 98.50266198384227 78.5589692851705 60.10947749987716 52.22706400252149 42.69430198476876 30.818203592578055 30.93632420992144 28.270099708420915 12.091323869570614 24.25086180738228 24.25086180738228
28.54191656570183 28.54191656570183 35.792239508407846 38.219135367733756 49.14060357167831 32.22480633850581 47.869031740724054 80.07861912492841 120.71643503876707 120.13015008782195 229.9421419641909 305.52865375573475 260.3421551113543 235.3451734060212 501.89706778868714 586.3678440712793 675.0246606919335 506.9092399285376 618.5244753979724 651.6173221447461 704.127740303119 520.7510719982142 501.53810642761465 480.77739929171906 427.5317730986301 420.68727175564266 298.81316887432087 261.59758873456127 167.44019932886388 175.370270016612 112.80366697048518 78.9449616875358 70.37251471935005 55.08918650156633 46.31717926323786 19.970558297187083 26.38311863061714 29.617069214954537 26.577937922437528 26.577937922437528
37.22108559869932 37.22108559869932 22.771240897393806 48.84836636697319 53.7011857102215 49.56852192414105 81.12949314177236 122.05896952096214 153.84467648813748 212.96570719698053 286.07526334699395 345.53127941197874 357.95085168482797 429.64083276616606 655.9317760292959 647.6138062934829 782.8111148153787 795.2353833741956 841.9615472635893 837.798015104145 961.8591834565872 930.3859464717896 840.4454702638335 718.5693985745575 471.5162685064167 489.93700878787206 346.79120303571455 372.23156547437924 243.5980414252039 196.95462097799836 154.2282130768922 91.83793740783013 69.39081792279957 45.238403230919516 53.76413206645521 25.105276804157356 42.88552629962608 20.433378618634514 21.604927868331306 21.604927868331306
29.281712837614347 29.281712837614347 37.864134193984434 48.128357705133745 42.36443453538323 67.78501581093074 81.90942445348159 162.73488607938458 162.9832271910259 270.14323643271837 350.36975625526367 420.4306882130999 515.2743109068987 653.6563882058773 846.5131649840026 808.2467795723938 1112.7510620711646 1007.7696911261587 1193.1421437833271 1120.0996979404451 1037.146248578068 1077.7396533992285 967.6687017332999 945.5251068968143 878.862853351367 615.7482544081697 555.7744226652809 397.5957390595379 395.83228222858645 232.5149939954361 230.13004644805542 164.41867945569516 89.34922050397734 57.22356162747794 66.28600668246987 34.98092097068396 35.06905019054774 22.40609799733542 27.601566611356052 27.601566611356052
35.799502775106305 35.799502775106305 42.09806326094381 38.38351183882963 58.32724915511311 84.56221907889076 56.57736907485449 129.75481344819494 241.91783858812605 277.1176061316025 520.8159446658599 584.2044095084619 623.0447561664383 783.203547974373 865.9955894908088 1186.2684060444387 1112.931427342729 1257.5405404229314 1459.4418353386525 1455.5825984427852 1303.6709798307947 1360.0768309001598 1157.9334170783143 1079.4210251775976 881.314312286598 778.322290763327 587.2047771084542 462.97569700904677 393.7352958643899 304.2691896614545 260.35793066230275 227.1798866954759 149.72069700771618 80.61423792601872 44.63402821595611 40.10472918621281 34.00875863942303 20.33366383393729 28.669404256109978 28.669404256109978
30.38859389715618 30.38859389715618 44.02038126846182 36.56086744058912 61.555771457306754 88.98808358203726 109.00233185858173 235.4910900376214 276.91410594263465 430.9087534567509 428.3778802651199 661.2064606489168 795.436083928159 825.2749118666402 1028.9110876743273 1144.2049952012326 1536.2771255592415 1699.9584435150725 2024.2546138130815 1778.5254838461037 1735.7181249529929 1463.0236093526428 1361.4957992747225 1411.0351968062366 1068.8390881634173 1030.2364607338054 770.304522510845 591.1943836126126 468.1814280753631 308.23110160129767 252.1275097050521 306.2670384816303 194.95557617375513 122.04683135650436 80.21777568140699 45.2641214105918 47.18852250153233 27.555372134289303 29.73533506626675 29.73533506626675
