arraywave1 arraywave2 arraywave3 arraywave4 arraywave5 arraywave6 arraywave7 arraywave8 arraywave9 arraywave10 arraywave11 arraywave12 arraywave13 arraywave14 arraywave15 arraywave16 arraywave17 arraywave18 arraywave19 arraywave20 arraywave21 arraywave22 arraywave23 arraywave24 arraywave25 arraywave26 arraywave27 arraywave28 arraywave29 arraywave30 arraywave31 arraywave32 arraywave33 arraywave34 arraywave35 arraywave36 arraywave37 arraywave38 arraywave39 arraywave40
-0.4012781381607 -0.3892979621887 -0.3719775080681 -0.3558496236801 -0.3383362293243 -0.3154597878456 -0.2931190729141 -0.2807433009148 -0.2662798166275 -0.2555290460587 -0.2444196790457 -0.2233301848173 -0.1988781243563 -0.1792783588171 -0.1655467152596 -0.1526344269514 -0.1461788862944 -0.1260560899973 -0.1079004555941 -0.1114508062601 -0.1209424287081 -0.131132543087 -0.1425887942314 -0.1553192436695 -0.1754705905914 -0.185943365097 -0.1928625404835 -0.2028064578772 -0.2183209806681 -0.2353292256594 -0.2510669231415 -0.2672033905983 -0.2831390500069 -0.3002699017525 -0.3182989954948 -0.3394719362259 -0.3534803986549 -0.3610826134682 -0.3638268113136 NaN
-0.3949576020241 -0.3856360912323 -0.3698427081108 -0.357172369957 -0.3363505005836 -0.3126083016396 -0.2895471453667 -0.2687909007072 -0.255110502243 -0.235088840127 -0.2158586829901 -0.1920229494572 -0.1701613515615 -0.1522793918848 -0.1364073306322 -0.1200666129589 -0.1096109300852 -0.09977765381336 -0.0867675691843 -0.08394959568977 -0.09076675772667 -0.1018742918968 -0.1184484809637 -0.1346890777349 -0.1519515961409 -0.1687590330839 -0.1829932034016 -0.1952759772539 -0.2105687111616 -0.2275944799185 -0.2427726536989 -0.2588195204735 -0.2763090729713 -0.2941081523895 -0.3088975548744 -0.3268733024597 -0.3452169299126 -0.3572494983673 -0.3695705533028 -0.3959802985191
-0.3901095986366 -0.3874908089638 -0.3731480836868 -0.3536120653152 -0.3302794694901 -0.304131090641 -0.2750805616379 -0.2529448270798 -0.2364187389612 -0.2142747193575 -0.189297363162 -0.166667625308 -0.1441870480776 -0.1246485561132 -0.1054213047028 -0.09259533882141 -0.08333033323288 -0.064857468009 -0.06247624009848 -0.07020422816277 -0.07259792089462 -0.08029890060425 -0.08773408830166 -0.1116097271442 -0.1360404491425 -0.156327560544 -0.167241409421 -0.1830613017082 -0.2034887224436 -0.2178072184324 -0.2338692396879 -0.2535163760185 -0.271569609642 -0.2895520925522 -0.305481672287 -0.3176025152206 -0.335234940052 -0.3560137152672 -0.3806439042091 NaN
-0.387900352478 -0.3869481682777 -0.3667539954185 -0.3383402228355 -0.3116969466209 -0.2859686017036 -0.2583863735199 -0.2387652248144 -0.2223684638739 -0.2020015269518 -0.1769917160273 -0.1527380645275 -0.1275645345449 -0.1035997718573 -0.08018098771572 -0.06310251355171 -0.05115258693695 -0.03524748235941 -0.03748068213463 -0.04604393988848 -0.05463171005249 -0.05645279586315 -0.06168249249458 -0.08832213282585 -0.1094658225775 -0.1381430178881 -0.1501047164202 -0.1671335548162 -0.1861878484488 -0.207142367959 -0.2249960452318 -0.2452885955572 -0.2659958004951 -0.2872479557991 -0.305183172226 -0.3175398111343 -0.3302832245827 -0.3541061878204 -0.3856752514839 NaN
-0.3979422450066 -0.38011521101 -0.3476638793945 -0.3160480856895 -0.2875363230705 -0.2687482237816 -0.2529908418655 -0.2289433330297 -0.2082496732473 -0.1867958307266 -0.1610773205757 -0.1384784281254 -0.1108649224043 -0.08114215731621 -0.06202273070812 -0.05255772173405 -0.04274093359709 -0.02838608622551 -0.01458565890789 -0.01170314848423 -0.02040396630764 -0.02966813743114 -0.0425066575408 -0.06536756455898 -0.09309422969818 -0.118951946497 -0.1390008926392 -0.1598429381847 -0.1793725043535 -0.1974973529577 -0.2128690332174 -0.234631434083 -0.2605476379395 -0.2855719327927 -0.3101232051849 -0.3238762021065 -0.3343083262444 -0.3539047241211 -0.3825669288635 NaN
-0.3957320451736 -0.3667574524879 -0.3274064064026 -0.2987454533577 -0.2763683199883 -0.2607779502869 -0.2428516298532 -0.2168342620134 -0.1906211078167 -0.1643442064524 -0.1369415074587 -0.1132173538208 -0.08409787714481 -0.05312365293503 -0.03789154440165 -0.02526196837425 -0.01209443062544 -0.001864939928055 0.01646163314581 0.01964964345098 0.01817422360182 0.006778977811337 -0.008003808557987 -0.03610418736935 -0.07708813250065 -0.1004422903061 -0.1258765906096 -0.147467777133 -0.1688123345375 -0.1858723163605 -0.2023677676916 -0.2238834053278 -0.2528812885284 -0.283886551857 -0.3106181025505 -0.3272862434387 -0.3385247588158 -0.3585949540138 -0.3879594802856 -0.4053964614868
-0.379363656044 -0.3502857089043 -0.3197849988937 -0.2975131869316 -0.2785468101501 -0.2546949982643 -0.2271690219641 -0.2012203782797 -0.1761661469936 -0.1492452770472 -0.1219256073236 -0.09413203597069 -0.06170939654112 -0.0310682579875 -0.009452424943447 0.01991336420178 0.04139095172286 0.0482180789113 0.05639081448317 0.05519010126591 0.05148949846625 0.04429669305682 0.03101510927081 -0.007251631468534 -0.04776650667191 -0.07557474076748 -0.1021333783865 -0.1224360316992 -0.1496167629957 -0.1712874621153 -0.1902877241373 -0.2157724946737 -0.2490972131491 -0.2803703546524 -0.3051657676697 -0.3238055109978 -0.3377332687378 -0.3615466356277 -0.3918787240982 -0.416876077652
-0.3678809404373 -0.3446558713913 -0.3224499225616 -0.2998475432396 -0.2752252817154 -0.2454563826323 -0.2187158018351 -0.1941548883915 -0.1698350161314 -0.1421636492014 -0.1122159212828 -0.08492867648602 -0.05383083969355 -0.0193285793066 0.007208630442619 0.03660393133759 0.06966529786587 0.08707766234875 0.09436252713203 0.09535549581051 0.09023670107126 0.07782773673534 0.05866780877113 0.01742560043931 -0.02270175516605 -0.05137453973293 -0.0764572173357 -0.101789817214 -0.1337639242411 -0.1595048755407 -0.1828293353319 -0.2074259370565 -0.239515081048 -0.274341404438 -0.3038750886917 -0.3269423246384 -0.3401557207108 -0.3632361292839 -0.3911117315292 -0.4171729683876
-0.367487847805 -0.3484537601471 -0.3238851428032 -0.295450091362 -0.2683601975441 -0.2398859411478 -0.2168424874544 -0.1933085769415 -0.1616617292166 -0.1296999901533 -0.1005605757236 -0.07540819048882 -0.05006070435047 -0.01063729077578 0.02429003082216 0.05729125440121 0.08792541921139 0.1147629246116 0.1338752359152 0.1396890580654 0.1409790962934 0.1169922426343 0.08221928775311 0.04140566289425 0.0002962052822113 -0.02966894954443 -0.05577993392944 -0.08793933689594 -0.1248259693384 -0.1478112637997 -0.1705454289913 -0.2036572247744 -0.2349382191896 -0.2677870988846 -0.3006820082664 -0.3251861333847 -0.3446472287178 -0.3654230833054 -0.3900825977325 -0.4093620181084
-0.3765658140182 -0.3524539470673 -0.3230875134468 -0.2923936247826 -0.2659174799919 -0.2381168156862 -0.2121879011393 -0.1832807809114 -0.1507621854544 -0.1197035759687 -0.09172637760639 -0.06773908436298 -0.03857707977295 0.00409059971571 0.04964031279087 0.08244343101978 0.1024589389563 0.1399992108345 0.1705519258976 0.1812526136637 0.1866064071655 0.1626783013344 0.1228755861521 0.07726706564426 0.01952735334635 -0.02071582525969 -0.04976153373718 -0.08464753627777 -0.1194810718298 -0.1396670788527 -0.1623064130545 -0.1983348578215 -0.2325516492128 -0.2627483010292 -0.296907544136 -0.3215314745903 -0.343038380146 -0.3651673793793 -0.3895977735519 -0.4025086760521
